0	0
1	0.1
2	0.2
3	0.3
4	0.4
5	0.5
6	0.6
7	0.7
8	0.8
9	0.9
10	1
11	1.1
12	1.2
13	1.3
14	1.4
15	1.5
16	1.6
17	1.7
18	1.8
19	1.9
20	2
21	2.1
22	2.2
23	2.3
24	2.4
25	2.5
26	2.6
27	2.7
28	2.8
29	2.9
30	3
31	3.1
32	3.2
33	3.3
34	3.4
35	3.5
36	3.6
37	3.7
38	3.8
39	3.9
40	4
41	4.1
42	4.2
43	4.3
44	4.4
45	4.5
46	4.6
47	4.7
48	4.8
49	4.9
50	5
51	5.1
52	5.2
53	5.3
54	5.4
55	5.5
56	5.6
57	5.7
58	5.8
59	5.9
60	6
61	6.1
62	6.2
63	6.3
64	6.4
65	6.5
66	6.6
67	6.7
68	6.8
69	6.9
70	7
71	7.1
72	7.2
73	7.3
74	7.4
75	7.5
76	7.6
77	7.7
78	7.8
79	7.9
80	8
81	8.1
82	8.2
83	8.3
84	8.4
85	8.5
86	8.6
87	8.7
88	8.8
89	8.9
90	9
91	9.1
92	9.2
93	9.3
94	9.4
95	9.5
96	9.6
97	9.7
98	9.8
99	9.9
100	10
101	10.1
102	10.2
103	10.3
104	10.4
105	10.5
106	10.6
107	10.7
108	10.8
109	10.9
110	11
111	11.1
112	11.2
113	11.3
114	11.4
115	11.5
116	11.6
117	11.7
118	11.8
119	11.9
120	12
121	12.1
122	12.2
123	12.3
124	12.4
125	12.5
126	12.6
127	12.7
128	12.8
129	12.9
130	13
131	13.1
132	13.2
133	13.3
134	13.4
135	13.5
136	13.6
137	13.7
138	13.8
139	13.9
140	14
141	14.1
142	14.2
143	14.3
144	14.4
145	14.5
146	14.6
147	14.7
148	14.8
149	14.9
150	15
151	14.9
152	14.8
153	14.7
154	14.6
155	14.5
156	14.4
157	14.3
158	14.2
159	14.1
160	14
161	13.9
162	13.8
163	13.7
164	13.6
165	13.5
166	13.4
167	13.3
168	13.2
169	13.1
170	13
171	12.9
172	12.8
173	12.7
174	12.6
175	12.5
176	12.4
177	12.3
178	12.2
179	12.1
180	12
181	11.9
182	11.8
183	11.7
184	11.6
185	11.5
186	11.4
187	11.3
188	11.2
189	11.1
190	11
191	10.9
192	10.8
193	10.7
194	10.6
195	10.5
196	10.4
197	10.3
198	10.2
199	10.1
200	10
201	9.9
202	9.8
203	9.7
204	9.6
205	9.5
206	9.4
207	9.3
208	9.2
209	9.1
210	9
211	8.9
212	8.8
213	8.7
214	8.6
215	8.5
216	8.4
217	8.3
218	8.2
219	8.1
220	8
221	7.9
222	7.8
223	7.7
224	7.6
225	7.5
226	7.4
227	7.3
228	7.2
229	7.1
230	7
231	6.9
232	6.8
233	6.7
234	6.6
235	6.5
236	6.4
237	6.3
238	6.2
239	6.1
240	6
241	5.9
242	5.8
243	5.7
244	5.6
245	5.5
246	5.4
247	5.3
248	5.2
249	5.1
250	5
251	4.9
252	4.8
253	4.7
254	4.6
255	4.5
256	4.4
257	4.3
258	4.2
259	4.1
260	4
261	3.9
262	3.8
263	3.7
264	3.6
265	3.5
266	3.4
267	3.3
268	3.2
269	3.1
270	3
271	2.9
272	2.8
273	2.7
274	2.6
275	2.5
276	2.4
277	2.3
278	2.2
279	2.1
280	2
281	1.9
282	1.8
283	1.7
284	1.6
285	1.5
286	1.4
287	1.3
288	1.2
289	1.1
290	1
291	0.9
292	0.8
293	0.7
294	0.6
295	0.5
296	0.4
297	0.3
298	0.2
299	0.1
300	0

