
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

1389359554.75 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.79 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.83 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.87 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.9 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.94 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359554.98 	OFF  :	ADC	v1:16.405285,	a1:0.374486,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.02 	OFF  :	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.06 	OFF  :	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.09 	OFF  :	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:17.937500,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.13 	OFF  :	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:18.000000,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.18 	START:	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:18.000000,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.2 	START:	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:18.000000,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
1389359555.23 	START:	ADC	v1:16.405285,	a1:0.385817,	TMP	tB:18.000000,	tE:-1.000000,	tR:-1.000000,	tY:-1.000000,	OK! 
